Region,Country,First Closed Won Opp Date,Account ID,CSM Status Stage,Activation Date,Highest Product,Last Product usage date,# delivery partners
Region B,Country 9,12/17/2021,0016R0000377Qlc,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region C,Country 3,12/23/2021,0016R0000377qlg,Active,23-Dec-2021,,12/29/2021 4:34 AM,1
Region B,Country 2,12/17/2021,0016R0000377Qlh,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 2,12/17/2021,0016R0000377QlI,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 9,12/17/2021,0016R0000377Qlm,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 2,12/17/2021,0016R0000377QlN,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 2,12/17/2021,0016R0000377Qlr,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 4,12/17/2021,0016R0000377QlS,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 9,12/17/2021,0016R0000377Qlw,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 2,12/17/2021,0016R0000377QlX,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 9,12/17/2021,0016R0000377QlY,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 2,12/17/2021,0016R0000377Qm1,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 4,12/17/2021,0016R0000377Qm2,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 4,12/17/2021,0016R0000377Qm6,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 2,12/17/2021,0016R0000377Qm7,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 19,12/31/2021,0016R0000377qMA,Active,3-Jan-2022,,1/14/2022 1:35 AM,3
Region B,Country 2,12/17/2021,0016R0000377Qma,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 9,12/17/2021,0016R0000377QmB,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region C,Country 16,12/29/2021,0016R0000377qMe,Active,29-Dec-2021,,1/13/2022 12:11 AM,2
Region B,Country 2,12/17/2021,0016R0000377Qmf,Active,17-Dec-2021,,,
Region B,Country 17,12/17/2021,0016R0000377Qmg,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 9,12/17/2021,0016R0000377QmH,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 2,12/17/2021,0016R0000377Qmk,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region C,Country 3,12/23/2021,0016R0000377qMK,Active,28-Dec-2021,,1/14/2022 5:03 AM,1
Region B,Country 2,12/17/2021,0016R0000377QmL,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 9,12/17/2021,0016R0000377Qmp,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 2,12/17/2021,0016R0000377QmQ,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 9,12/17/2021,0016R0000377Qmu,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 4,12/17/2021,0016R0000377QmV,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 2,12/17/2021,0016R0000377Qmz,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region C,Country 3,12/23/2021,0016R0000377qMZ,Active,28-Dec-2021,,1/14/2022 5:03 AM,2
Region B,Country 17,12/17/2021,0016R0000377Qn4,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 9,12/17/2021,0016R0000377Qn9,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 2,12/17/2021,0016R0000377QnA,Active,17-Dec-2021,,1/14/2022 5:41 AM,
