Region,Country,First Closed Won Opp Date,Account ID,CSM Status Stage,Activation Date,Highest Product,Last Product usage date,# delivery partners
Region A,Country 1,9/22/2021,0012E00002b5a1J,Active,28-Sep-2021,,1/13/2022 8:44 AM,2
Region A,Country 8,9/16/2021,0012E00002b5Zvf,Active,4-Oct-2021,,1/13/2022 1:26 PM,4
Region C,Country 16,10/1/2021,0012E00002b8A7b,Active,1-Oct-2021,,,1
Region C,Country 16,10/1/2021,0012E00002b8Ail,Active,1-Oct-2021,,,1
Region C,Country 16,10/1/2021,0012E00002b8AMp,Active,1-Oct-2021,,,1
Region C,Country 16,10/1/2021,0012E00002b8APP,Active,1-Oct-2021,,,1
Region A,Country 8,9/7/2021,0012E00002bavkB,Active,17-Sep-2021,,,2
Region D,Country 14,9/13/2021,0012E00002bbtWm,Active,12-Oct-2021,,,1
Region D,Country 11,12/12/2021,0012E00002bbtXz,Active,18-Dec-2021,,12/19/2021 2:56 AM,2
Region D,Country 11,11/17/2021,0012E00002bbu3W,Active,18-Dec-2021,,1/10/2022 7:56 PM,1
Region C,Country 16,9/3/2021,0012E00002bbuWl,Churned,7-Sep-2021,,,0
Region C,Country 16,9/7/2021,0012E00002bbuXP,Active,8-Sep-2021,,,3
Region B,Country 9,9/24/2021,0012E00002bbvv3,Blocked,27-Sep-2021,,,0
Region A,Country 1,10/21/2021,0012E00002bbw0F,Active,2-Nov-2021,,,3
Region D,Country 5,9/24/2021,0012E00002bbyjk,Churned,5-Oct-2021,,,3
Region D,Country 11,9/30/2021,0012E00002bbz0R,Active,13-Oct-2021,,,2
Region B,Country 28,9/11/2021,0012E00002bbz4A,Onboarding,,,,
Region C,Country 16,11/30/2021,0012E00002bbz6P,Active,30-Nov-2021,,11/30/2021 6:12 AM,1
Region C,Country 3,9/9/2021,0012E00002bbzvm,Active,15-Sep-2021,,,0
Region B,Country 4,10/15/2021,0012E00002bc0l9,Active,24-Nov-2021,,1/10/2022 1:59 AM,2
Region C,Country 16,10/20/2021,0012E00002bc0lJ,Active,21-Oct-2021,,1/13/2022 11:23 AM,4
Region A,Country 1,9/2/2021,0012E00002bc2Hj,Churned,1-Sep-2021,Core,,0
Region D,Country 11,9/16/2021,0012E00002bc2sP,Active,27-Sep-2021,,,2
Region B,Country 2,9/10/2021,0012E00002bc3hi,Blocked,15-Sep-2021,,,1
Region D,Country 5,9/4/2021,0012E00002bc3vV,Active,13-Sep-2021,,,2
Region B,Country 2,11/18/2021,0012E00002bc4Hq,Churned,24-Nov-2021,,11/23/2021 2:32 AM,2
Region C,Country 16,11/16/2021,0012E00002bc7MF,Active,16-Nov-2021,,11/18/2021 3:46 AM,1
Region B,Country 19,9/2/2021,0012E00002bc7t9,Blocked,3-Sep-2021,Core,,3
Region B,Country 4,10/22/2021,0012E00002bc94W,Onboarding,,,,1
Region D,Country 25,11/17/2021,0012E00002bc9iD,Onboarding,,,,0
Region A,Country 8,9/1/2021,0012E00002bcA5C,Active,13-Oct-2021,Core,,2
Region C,Country 16,9/22/2021,0012E00002bcb0O,Active,29-Oct-2021,,,2
Region C,Country 16,10/22/2021,0012E00002bcB57,Active,25-Oct-2021,,1/12/2022 12:45 PM,4
Region D,Country 11,9/20/2021,0012E00002bcbsg,Onboarding,,,,1
Region D,Country 11,9/20/2021,0012E00002bcbsM,Onboarding,,,,1
Region D,Country 11,9/20/2021,0012E00002bcbsN,Onboarding,,,,
Region D,Country 15,12/2/2021,0012E00002bccdD,Onboarding,,,,2
Region D,Country 5,9/1/2021,0012E00002bccPV,Active,7-Sep-2021,Premium,,1
Region D,Country 14,9/8/2021,0012E00002bccvq,Active,5-Jan-2022,,1/4/2022 6:17 PM,0
Region D,Country 14,10/3/2021,0012E00002bcD9z,Active,23-Oct-2021,,,2
Region B,Country 2,9/16/2021,0012E00002bcdox,Blocked,17-Sep-2021,,,1
Region C,Country 16,9/7/2021,0012E00002bceDI,Active,8-Sep-2021,,1/14/2022 4:25 AM,3
Region B,Country 2,11/12/2021,0012E00002bceFt,Active,19-Nov-2021,,11/28/2021 9:20 PM,1
Region C,Country 16,11/12/2021,0012E00002bceUC,Active,15-Nov-2021,,,2
Region C,Country 16,9/1/2021,0012E00002bcey2,Active,2-Sep-2021,Premium,1/10/2022 8:31 AM,3
Region A,Country 1,12/1/2021,0012E00002bcf5g,Active,30-Nov-2021,,,
Region D,Country 14,11/18/2021,0012E00002bcfuq,Active,13-Dec-2021,,1/15/2022 1:19 AM,2
Region A,Country 1,9/29/2021,0012E00002bcGEP,Onboarding,,,,1
Region B,Country 19,9/4/2021,0012E00002bcgKo,Blocked,29-Sep-2021,,,2
Region A,Country 1,12/1/2021,0012E00002bcGMs,Active,30-Nov-2021,,,1
Region D,Country 5,9/8/2021,0012E00002bcgOg,Active,13-Sep-2021,,1/15/2022 4:45 AM,3
Region B,Country 2,9/1/2021,0012E00002bcgTi,Active,2-Sep-2021,Core,,2
Region A,Country 1,11/29/2021,0012E00002bcGVG,Active,6-Dec-2021,,1/6/2022 8:17 PM,3
Region D,Country 11,11/15/2021,0012E00002bcGvO,Active,23-Nov-2021,,12/14/2021 7:03 PM,1
Region B,Country 17,9/9/2021,0012E00002bchFm,Onboarding,,,,0
Region C,Country 16,11/11/2021,0012E00002bcHpg,Active,16-Nov-2021,,1/15/2022 3:09 AM,3
Region C,Country 16,9/14/2021,0012E00002bchQo,Active,15-Sep-2021,,1/11/2022 11:25 AM,4
Region C,Country 16,11/23/2021,0012E00002bchtW,Active,23-Nov-2021,,12/29/2021 5:46 AM,2
Region D,Country 5,11/30/2021,0012E00002bcHXb,Onboarding,,,,
Region C,Country 16,9/7/2021,0012E00002bciEc,Active,8-Sep-2021,,1/10/2022 4:40 AM,5
Region B,Country 9,9/22/2021,0012E00002bcIfI,Active,27-Sep-2021,,,2
Region C,Country 16,10/29/2021,0012E00002bcIOv,Active,1-Nov-2021,,11/16/2021 1:46 AM,3
Region C,Country 16,12/31/2021,0012E00002bcIP5,Onboarding,,,,
Region D,Country 11,9/22/2021,0012E00002bcirg,Active,4-Oct-2021,,,2
Region A,Country 8,9/14/2021,0012E00002bciU7,Active,24-Sep-2021,,1/11/2022 7:47 PM,4
Region A,Country 8,9/28/2021,0012E00002bciXG,Onboarding,,,,3
Region D,Country 11,9/5/2021,0012E00002bcj5v,Churned,14-Sep-2021,,,1
Region C,Country 16,11/22/2021,0012E00002bcjeT,Active,22-Nov-2021,,,2
Region C,Country 16,11/16/2021,0012E00002bck14,Active,17-Nov-2021,,11/17/2021 7:45 AM,1
Region A,Country 1,9/3/2021,0012E00002bcKIf,Active,2-Sep-2021,Core,12/22/2021 1:30 PM,0
Region D,Country 11,10/3/2021,0012E00002bcKpK,Active,17-Oct-2021,,11/23/2021 5:40 PM,3
Region A,Country 6,11/30/2021,0012E00002bcKtH,Onboarding,,,,
Region C,Country 16,10/28/2021,0012E00002bckxB,Active,4-Nov-2021,,,1
Region B,Country 4,9/9/2021,0012E00002bcl3O,Onboarding,,,,
Region B,Country 2,9/15/2021,0012E00002bcl4H,Active,18-Sep-2021,,11/22/2021 7:33 AM,1
Region C,Country 16,11/4/2021,0012E00002bcLIt,Active,4-Nov-2021,,1/13/2022 12:31 AM,3
Region B,Country 2,10/29/2021,0012E00002bcLXR,Blocked,3-Nov-2021,,,0
Region B,Country 2,9/20/2021,0012E00002bcLXt,Active,22-Sep-2021,,,2
Region A,Country 8,9/29/2021,0012E00002bcmAH,Onboarding,,,,1
Region B,Country 2,10/25/2021,0012E00002bcMdX,Blocked,26-Oct-2021,,,1
Region D,Country 20,9/2/2021,0012E00002bcmE4,Active,8-Sep-2021,Core,,2
Region D,Country 11,10/3/2021,0012E00002bcmIL,Active,12-Oct-2021,,11/22/2021 6:31 PM,3
Region A,Country 8,10/1/2021,0012E00002bcmjI,Churned,13-Oct-2021,,12/18/2021 8:36 PM,0
Region C,Country 16,10/4/2021,0012E00002bcMMW,Active,4-Oct-2021,,,0
Region C,Country 3,9/29/2021,0012E00002bcMW7,Active,30-Sep-2021,,,1
Region D,Country 11,9/14/2021,0012E00002bcnA9,Active,7-Oct-2021,,1/2/2022 8:17 PM,3
Region D,Country 11,9/21/2021,0012E00002bcnB2,Churned,20-Oct-2021,,,1
Region A,Country 6,9/13/2021,0012E00002bcnI4,Churned,20-Sep-2021,,,1
Region B,Country 9,9/11/2021,0012E00002bcnke,Blocked,30-Sep-2021,,,0
Region B,Country 4,9/10/2021,0012E00002bco0N,Churned,12-Sep-2021,,,0
Region D,Country 14,9/20/2021,0012E00002bcO9f,Onboarding,,,,
Region D,Country 11,9/29/2021,0012E00002bcOfv,Active,9-Oct-2021,,,2
Region C,Country 16,12/16/2021,0012E00002bcoGj,Active,20-Dec-2021,,12/20/2021 5:28 AM,1
Region B,Country 4,9/18/2021,0012E00002bcoIC,Onboarding,,,,
Region C,Country 16,11/10/2021,0012E00002bcoLG,Active,11-Nov-2021,,,1
Region D,Country 11,9/30/2021,0012E00002bcORe,Active,12-Oct-2021,,1/9/2022 10:22 PM,3
Region D,Country 15,9/2/2021,0012E00002bcOys,Active,10-Sep-2021,Core,,0
Region B,Country 9,9/6/2021,0012E00002bcPb2,Onboarding,,,,
Region B,Country 17,9/30/2021,0012E00002bcPBY,Blocked,1-Oct-2021,,,3
Region C,Country 16,9/13/2021,0012E00002bcPek,Churned,14-Sep-2021,,,2
Region C,Country 16,9/15/2021,0012E00002bcPf0,Active,16-Sep-2021,,12/15/2021 10:38 AM,1
Region D,Country 5,9/13/2021,0012E00002bcpj3,Active,17-Sep-2021,,,1
Region D,Country 15,10/30/2021,0012E00002bcPJN,Active,4-Nov-2021,,11/26/2021 5:05 AM,2
Region D,Country 11,9/21/2021,0012E00002bcpnF,Active,4-Oct-2021,,,1
Region D,Country 11,9/28/2021,0012E00002bcptr,Churned,11-Oct-2021,,,1
Region C,Country 3,9/14/2021,0012E00002bcQcE,Active,15-Sep-2021,,,1
Region B,Country 2,9/2/2021,0012E00002bcqfK,Churned,6-Sep-2021,Core,,0
Region A,Country 1,10/28/2021,0012E00002bcQw4,Active,3-Oct-2021,,,
Region C,Country 16,9/9/2021,0012E00002bcr0w,Active,10-Sep-2021,,,0
Region D,Country 5,9/10/2021,0012E00002bcReM,Active,17-Sep-2021,,12/8/2021 5:20 PM,3
Region A,Country 1,9/28/2021,0012E00002bcRJs,Active,28-Sep-2021,,12/23/2021 7:26 AM,2
Region A,Country 1,9/16/2021,0012E00002bcRMh,Active,22-Sep-2021,,1/7/2022 4:07 AM,1
Region A,Country 13,9/8/2021,0012E00002bcRVe,Dead Opportunity,,,,
Region D,Country 15,9/13/2021,0012E00002bcSat,Active,21-Sep-2021,,12/7/2021 10:37 PM,2
Region B,Country 9,10/29/2021,0012E00002bcSog,Blocked,10-Nov-2021,,,1
Region B,Country 18,9/2/2021,0012E00002bcSuH,Paused,10-Sep-2021,Core,,1
Region B,Country 22,9/6/2021,0012E00002bcSV4,Active,7-Sep-2021,,,1
Region C,Country 16,11/16/2021,0012E00002bcTCY,Active,16-Nov-2021,,,0
Region C,Country 16,9/1/2021,0012E00002bcTG2,Active,2-Sep-2021,Premium,12/13/2021 4:09 AM,2
Region C,Country 16,9/10/2021,0012E00002bcVqZ,Active,16-Aug-2021,,1/14/2022 6:28 AM,2
Region D,Country 7,9/1/2021,0012E00002bcVRF,Active,18-Oct-2021,Core,,1
Region A,Country 8,9/6/2021,0012E00002bcvv7,Active,26-Oct-2021,,12/26/2021 2:32 PM,2
Region A,Country 8,9/7/2021,0012E00002bcvvM,Active,16-Sep-2021,,11/25/2021 10:53 AM,3
Region D,Country 11,10/13/2021,0012E00002bcw0d,Churned,26-Oct-2021,,,1
Region A,Country 1,9/16/2021,0012E00002bcw99,Active,19-Sep-2021,,,2
Region A,Country 1,11/19/2021,0012E00002bcwCD,Churned,,,,1
Region A,Country 13,9/10/2021,0012E00002bcwFH,Churned,,,,
Region D,Country 11,9/27/2021,0012E00002bcwTx,Churned,7-Oct-2021,,,3
Region D,Country 25,9/7/2021,0012E00002bcx03,Churned,10-Sep-2021,,,3
Region B,Country 19,9/18/2021,0012E00002bczfz,Onboarding,1-Oct-2021,,1/7/2022 4:05 AM,3
Region B,Country 2,9/3/2021,0012E00002bczWt,Blocked,15-Sep-2021,Core,1/13/2022 9:10 PM,2
Region D,Country 11,11/23/2021,0012E00002bd0jL,Active,2-Dec-2021,,,3
Region D,Country 11,11/23/2021,0012E00002bd0k2,Active,2-Dec-2021,,,1
Region A,Country 8,12/21/2021,0012E00002bd0mI,Onboarding,,,1/13/2022 5:04 PM,1
Region D,Country 14,11/10/2021,0012E00002bd0nf,Active,30-Nov-2021,,11/24/2021 9:04 PM,1
Region A,Country 1,9/3/2021,0012E00002bd0SX,Active,9-Sep-2021,Core,,4
Region D,Country 20,9/2/2021,0012E00002bd25f,Churned,8-Sep-2021,Premium,1/3/2022 5:15 PM,3
Region B,Country 2,9/11/2021,0012E00002bd298,Churned,15-Sep-2021,,,0
Region C,Country 3,9/15/2021,0012E00002bd2fd,Active,21-Sep-2021,,12/20/2021 6:25 AM,3
Region C,Country 16,9/10/2021,0012E00002bd2WA,Active,13-Sep-2021,,,1
Region B,Country 4,9/1/2021,0012E00002bd33J,Active,1-Oct-2021,Core,12/9/2021 7:48 AM,6
Region B,Country 4,11/23/2021,0012E00002bd39b,Active,1-Dec-2021,,1/15/2022 4:20 AM,2
Region C,Country 16,9/1/2021,0012E00002bd3Fy,Active,2-Sep-2021,Premium,12/3/2021 8:57 AM,5
Region A,Country 8,9/10/2021,0012E00002bd3pB,Onboarding,,,,1
Region A,Country 13,9/5/2021,0012E00002bd4Dw,Churned,29-Sep-2021,,,
Region A,Country 13,9/5/2021,0012E00002bd4Dy,Churned,29-Sep-2021,,,
Region D,Country 29,10/5/2021,0012E00002bd4e9,Active,25-Oct-2021,,,1
Region D,Country 14,12/6/2021,0012E00002bd4Nd,Active,14-Jan-2022,,,2
Region D,Country 15,10/31/2021,0012E00002bd4qY,Active,4-Nov-2021,,,0
Region D,Country 14,9/14/2021,0012E00002bd4Tk,Active,21-Nov-2021,,,0
Region A,Country 13,9/5/2021,0012E00002bd4um,Churned,8-Sep-2021,,,
Region C,Country 3,9/10/2021,0012E00002bd5eQ,Churned,12-Sep-2021,,,0
Region B,Country 17,9/3/2021,0012E00002bd5Hg,Blocked,9-Sep-2021,Core,,1
Region A,Country 6,9/2/2021,0012E00002bd5mT,Churned,12-Sep-2021,Core,,2
Region B,Country 9,9/17/2021,0012E00002bd5nv,Churned,22-Sep-2021,,11/18/2021 9:49 AM,0
Region C,Country 16,9/3/2021,0012E00002bd75o,Active,7-Sep-2021,,12/25/2021 11:53 AM,4
Region C,Country 16,9/1/2021,0012E00002bd77B,Active,1-Sep-2021,Basic,,1
Region B,Country 2,9/17/2021,0012E00002bd7C1,Active,22-Sep-2021,,,1
Region D,Country 11,9/8/2021,0012E00002bd7Eg,Churned,18-Sep-2021,,,2
Region C,Country 3,9/1/2021,0012E00002bd7pq,Active,2-Sep-2021,Premium,11/17/2021 9:55 PM,3
Region C,Country 16,9/2/2021,0012E00002bd7Tg,Active,2-Sep-2021,Basic,,1
Region B,Country 4,9/10/2021,0012E00002bd7uM,Active,30-Sep-2021,,1/5/2022 2:54 AM,0
Region A,Country 12,9/6/2021,0012E00002bd8el,Active,27-Sep-2021,,,2
Region D,Country 7,9/20/2021,0012E00002bd8up,Churned,1-Oct-2021,,,0
Region A,Country 8,9/7/2021,0012E00002bd8XP,Active,19-Oct-2021,,1/12/2022 4:38 PM,2
Region D,Country 15,9/3/2021,0012E00002bd8yU,Active,21-Sep-2021,Premium,11/30/2021 8:58 PM,4
Region D,Country 5,9/9/2021,0012E00002bd9ht,Active,13-Sep-2021,,,1
Region A,Country 1,9/3/2021,0012E00002bda06,Active,9-Sep-2021,Core,,3
Region A,Country 1,9/3/2021,0012E00002bda0L,Active,7-Sep-2021,Core,,2
Region A,Country 1,9/3/2021,0012E00002bda0p,Active,7-Sep-2021,Core,,1
Region A,Country 13,9/3/2021,0012E00002bda1E,Onboarding,,Premium,,
Region A,Country 12,9/3/2021,0012E00002bda2q,Dead Opportunity,,Premium,,
Region A,Country 8,9/3/2021,0012E00002bda35,Active,4-Sep-2021,Core,12/28/2021 10:04 AM,1
Region A,Country 8,9/6/2021,0012E00002bda4D,Onboarding,,,,1
Region A,Country 8,9/6/2021,0012E00002bda5B,Active,13-Dec-2021,,,1
Region A,Country 1,9/5/2021,0012E00002bda6u,Active,10-Sep-2021,,,4
Region D,Country 25,9/7/2021,0012E00002bda7b,Churned,16-Sep-2021,,,1
Region A,Country 8,9/3/2021,0012E00002bda8P,Active,15-Sep-2021,Core,,1
Region A,Country 8,9/3/2021,0012E00002bda93,Active,15-Sep-2021,Core,1/7/2022 12:25 PM,1
Region A,Country 6,9/6/2021,0012E00002bdaB4,Active,14-Sep-2021,,12/2/2021 11:47 AM,3
Region D,Country 11,9/5/2021,0012E00002bdabq,Active,14-Sep-2021,,,1
Region D,Country 5,9/3/2021,0012E00002bdacZ,Active,10-Sep-2021,Core,1/15/2022 1:39 AM,2
Region B,Country 18,9/3/2021,0012E00002bdaiE,Active,6-Sep-2021,Core,1/12/2022 4:32 AM,3
Region C,Country 16,9/3/2021,0012E00002bdaiJ,Active,7-Sep-2021,,1/9/2022 10:50 AM,4
Region D,Country 15,9/3/2021,0012E00002bdaiX,Active,3-Sep-2021,Core,,1
Region D,Country 20,9/6/2021,0012E00002bdaIZ,Churned,14-Sep-2021,,,5
Region D,Country 7,9/7/2021,0012E00002bdamK,Paused,20-Sep-2021,,,2
Region D,Country 7,9/7/2021,0012E00002bdamM,Active,20-Sep-2021,,,
Region B,Country 17,9/18/2021,0012E00002bdamU,Blocked,29-Sep-2021,,,1
Region C,Country 16,9/3/2021,0012E00002bdap2,Active,9-Sep-2021,,1/9/2022 10:50 AM,1
Region B,Country 4,9/3/2021,0012E00002bdar8,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdar9,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdarA,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdara,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdarB,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdarb,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdarC,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdarc,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdard,Active,3-Sep-2021,Basic,,
Region B,Country 9,9/3/2021,0012E00002bdarD,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdare,Active,3-Sep-2021,Basic,1/7/2022 8:38 AM,
Region B,Country 2,9/3/2021,0012E00002bdarE,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdarF,Active,3-Sep-2021,Basic,,
Region B,Country 9,9/3/2021,0012E00002bdarf,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdarG,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 4,9/3/2021,0012E00002bdarg,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 17,9/3/2021,0012E00002bdarh,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdarH,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 4,9/3/2021,0012E00002bdarI,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdari,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 17,9/3/2021,0012E00002bdarj,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 4,9/3/2021,0012E00002bdarJ,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 17,9/3/2021,0012E00002bdark,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdarK,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 17,9/3/2021,0012E00002bdarl,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdarL,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdarM,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdarm,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdarn,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 4,9/3/2021,0012E00002bdarN,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdaro,Active,3-Sep-2021,Basic,,
Region B,Country 9,9/3/2021,0012E00002bdarO,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdarP,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdarp,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdarQ,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdarq,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 10,9/3/2021,0012E00002bdarR,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdarr,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdars,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 4,9/3/2021,0012E00002bdarT,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdart,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdarU,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdaru,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdarV,Active,3-Sep-2021,Basic,,
Region B,Country 9,9/3/2021,0012E00002bdarv,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdarW,Active,3-Sep-2021,Basic,,
Region B,Country 9,9/3/2021,0012E00002bdarw,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 17,9/3/2021,0012E00002bdarx,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 4,9/3/2021,0012E00002bdarX,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 10,9/3/2021,0012E00002bdary,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdarZ,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdarz,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdas0,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdas1,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdas2,Active,3-Sep-2021,Basic,,
Region B,Country 2,9/3/2021,0012E00002bdas3,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdas4,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdas5,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdas6,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdas7,Active,3-Sep-2021,Basic,1/14/2022 7:58 AM,
Region B,Country 2,9/3/2021,0012E00002bdas8,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdas9,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 17,9/3/2021,0012E00002bdasA,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdasa,Active,3-Sep-2021,Basic,1/14/2022 7:58 AM,
Region B,Country 4,9/3/2021,0012E00002bdasB,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdasb,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdasC,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 4,9/3/2021,0012E00002bdasc,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdasd,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdasD,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdasE,Active,3-Sep-2021,Basic,,
Region B,Country 9,9/3/2021,0012E00002bdase,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 4,9/3/2021,0012E00002bdasF,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdasG,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdasH,Active,3-Sep-2021,Basic,,
Region B,Country 9,9/3/2021,0012E00002bdasI,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdasJ,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region C,Country 16,9/3/2021,0012E00002bdask,Active,7-Sep-2021,,1/9/2022 10:50 AM,1
Region B,Country 2,9/3/2021,0012E00002bdasK,Active,3-Sep-2021,Basic,,
Region B,Country 2,9/3/2021,0012E00002bdasL,Active,3-Sep-2021,Basic,,
Region B,Country 9,9/3/2021,0012E00002bdasM,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdasN,Active,3-Sep-2021,Basic,,
Region B,Country 4,9/3/2021,0012E00002bdasO,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdasP,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 10,9/3/2021,0012E00002bdasQ,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdasR,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdasS,Active,3-Sep-2021,Basic,,
Region B,Country 2,9/3/2021,0012E00002bdasT,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 9,9/3/2021,0012E00002bdasU,Active,3-Sep-2021,Basic,1/14/2022 5:41 AM,
Region B,Country 2,9/3/2021,0012E00002bdasV,Active,3-Sep-2021,Basic,,
